         BTJD             TJD             cts           e_cts             bkg       bkg_model            bkg2          e_bkg2
     1688.44777      1688.43796        566.9659       1019.9422       1520.2424       -116.4705        390.3419       1019.9422
     1688.46861      1688.45879       -217.1368       1004.5676        946.1755       -116.4705       -314.7238       1004.5676
     1688.48944      1688.47962      -1507.8299        939.9854       5757.0115       -116.4705       1127.8482        939.9854
     1688.51027      1688.50046        605.3979       1025.8514       2858.0510       -160.1358        182.0780       1025.8514
     1688.53111      1688.52129      -1745.5215       1047.4779       5622.8849       -116.4705        226.9293       1047.4779
     1688.55194      1688.54212        404.9656       1040.5102      -1211.9678       -116.4705       -116.4705       1040.5102
     1688.57277      1688.56296        597.1812        984.3116        954.3259       -100.4460        130.7377        984.3116
     1688.59361      1688.58379      -2883.8969        998.9721        932.4153       -100.4460       -939.5223        998.9721
     1688.61444      1688.60462       -147.4204        966.3178       -344.8751       -100.4460       -753.1904        966.3178
     1688.63527      1688.62546      -1243.6792       1033.3855        672.4554       -100.4460      -1494.8252       1033.3855
     1688.65611      1688.64629        -67.0928       1025.3169        259.1921       -100.4460        -99.9431       1025.3169
     1688.67694      1688.66712      -1383.7847        987.8617       1424.1990        -99.9431       -160.1358        987.8617
     1688.69777      1688.68796      -1968.4839       1010.3928       3722.1870          0.3267        241.5690       1010.3928
     1688.71861      1688.70879      -3706.3558       1048.6192       1606.3753        -99.9431       -722.7120       1048.6192
     1688.73944      1688.72962      -3466.1785        977.5140        -59.8734        -99.9431       -915.9620        977.5140
     1688.76027      1688.75046      -2989.9458        978.9524       1040.1218          0.3267      -1261.8430        978.9524
     1688.78110      1688.77129      -1703.1394        994.8406       3131.2678         26.4316       -100.4460        994.8406
     1688.80194      1688.79212       1148.7390       1024.1917       3222.5005         47.3698        561.3807       1024.1917
     1688.82277      1688.81296      -5391.9040       1040.9558       4822.9873         47.3698        102.7838       1040.9558
     1688.84360      1688.83379      -1348.5371       1074.1080      -1667.2822         47.3698       -825.2196       1074.1080
     1688.86444      1688.85462      -1497.7128       1082.0926       2629.0757         47.3698       -283.9308       1082.0926
     1688.88527      1688.87546      -2050.9121        984.5573       2483.6640        102.7838        562.2163        984.5573
     1688.90610      1688.89629       -654.5117       1119.9791       6752.6249         47.3698       1882.2148       1119.9791
     1688.92694      1688.91712      -3831.9035       1061.3227       5495.4290         47.3698        476.1307       1061.3227
     1688.94777      1688.93796        925.5742       1104.8655       8046.6665         47.3698       2332.5504       1104.8655
     1688.96860      1688.95879      -3932.2743       1103.6440       6581.2382         47.3698       2043.1993       1103.6440
     1688.98944      1688.97962       -828.5518       1018.8707       3775.9727         47.3698       -299.4536       1018.8707
     1689.01027      1689.00046       -708.6630       1078.5561       2409.1156         26.4316          0.3267       1078.5561
     1689.03110      1689.02129      -1388.6880       1071.1460       3385.7568         26.4316        198.2869       1071.1460
     1689.05193      1689.04212       -746.0541       1054.1634       5322.4351         26.4316       1763.1565       1054.1634
     1689.07277      1689.06296      -5077.3355       1069.5628       2974.9410         47.3698      -1101.5452       1069.5628
     1689.09360      1689.08379      -3180.4693       1071.3405       2644.7447         26.4316        802.6017       1071.3405
     1689.11443      1689.10462       -802.0125       1095.2824       7974.6926         26.4316        622.8529       1095.2824
     1689.13527      1689.12546       1787.8541       1079.0873       5453.5042         26.4316        822.5117       1079.0873
     1689.15610      1689.14629      -1555.8142       1074.7964       4171.6457         47.3698        688.0835       1074.7964
     1689.17693      1689.16712        -88.6950       1073.9650       6505.7706         48.9664       1031.5079       1073.9650
     1689.19777      1689.18796      -3726.3051       1031.8590       4962.4932        102.7838       -248.9975       1031.8590
     1689.21860      1689.20879      -2100.3563       1074.5278       3890.0579        102.7838       -227.9316       1074.5278
     1689.23943      1689.22962        277.3447       1034.1328       2502.3891        102.7838         47.3698       1034.1328
