#          BTJD             TJD             cts           e_cts             bkg       bkg_model            bkg2          e_bkg2
     1328.80330      1328.79228     -53067.9231       1081.1440     -19228.0566      -3593.1147      -3088.7358       1532.4178
     1328.82413      1328.81311     -52882.5230       1075.1740     -20541.3855      -3593.1147      -1627.3325       1523.8345
     1328.84496      1328.83394     -55830.0626       1071.9455     -19035.3040      -3651.0523      -3593.1147       1516.9693
     1328.86580      1328.85478     -54483.5931       1070.6706     -18096.2693      -3750.5549      -3862.9529       1514.2648
     1328.88663      1328.87561     -53027.9658        968.7714     -13339.9099      -3651.0523      -5723.3982       1439.6992
     1328.90746      1328.89644     -51879.7565       1045.0249     -18780.3508      -3593.1147      -2750.0458       1483.2306
     1328.92830      1328.91728     -49776.8545        946.5962     -10995.4251      -3593.1147      -5590.6533       1412.1095
     1328.94913      1328.93811     -52096.3652       1039.7834     -16068.5604      -3593.1147      -3579.7433       1470.6719
     1328.96996      1328.95894     -49904.8218        933.4122     -11962.5211      -3593.1147       -738.6434       1401.6270
     1328.99079      1328.97978     -48973.5128        920.6546     -11997.9300      -3651.0523      -2102.5146       1391.6130
     1329.01163      1329.00061     -50230.2892        914.9596     -11102.7611      -3752.4429      -1997.5583       1383.5073
     1329.03246      1329.02144     -52997.2776        910.8413     -10104.3548      -3752.4429      -3752.4429       1380.0690
     1329.05329      1329.04228     -52156.8073        914.6240     -10952.5616      -3752.4429      -4830.7802       1383.7735
     1329.07413      1329.06311     -50100.0578        917.0225      -9686.5361      -3651.0523      -1366.9424       1386.4319
     1329.09496      1329.08394     -53250.5331        919.3671     -11471.1611      -3593.1147      -4881.7134       1388.8374
     1329.11579      1329.10478     -50244.9351        917.1950     -10520.9966      -3579.7433        -31.6159       1388.5050
     1329.13663      1329.12561     -50576.6721        921.8677     -11191.0658      -3579.7433      -4349.3140       1394.7541
     1329.15746      1329.14644     -49930.0443        925.8351     -11627.9880      -3579.7433       1391.8274       1401.9051
     1329.17829      1329.16728     -53285.7578        997.2670     -14099.1245      -3579.7433      -2202.4708       1434.9408
     1329.19913      1329.18811     -52931.0707        920.7213     -11873.2426      -3593.1147      -2713.5768       1394.3480
     1329.21996      1329.20894     -49265.9997        920.1647     -10297.1171      -3593.1147      -5624.9303       1393.0707
